Название раздела;Название раздела;Название раздела;Название товара;Артикул товара;Артикул родительского товара;Цена товара;Название производителя;Файл изображения для товара;Цвет;Размер;Состав;Сезон;Описание товара;Дополнительное изображение № 1;Дополнительное изображение № 2;Дополнительное изображение № 3;Дополнительное изображение № 4;Дополнительное изображение № 5;Дополнительное изображение № 6;"Склад ""Основной""";Флаг индексации;Новые поступления;
;;;Майка;FT245D1-M;FT245D1;2900;Stefanel;;Синий;                M;;Лето;;;;;;;;2;0;;
;;;Майка;FT245D1-L;FT245D1;2900;Stefanel;;Синий;                 L;;Лето;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Майка;FT245D2;;2900;Stefanel;/upload/import/270315-460_1.JPG;Бирюзовый;;100% хлопок;Лето;;/upload/import/270315-461.JPG;/upload/import/270315-462.JPG;/upload/import/270315-463.JPG;;;;2;1;;
;;;Майка;FT245D2-XS;FT245D2;2900;Stefanel;;Бирюзовый;               XS;;Лето;;;;;;;;2;0;;
;;;Майка;FT245D2-S;FT245D2;2900;Stefanel;;Бирюзовый;                 S;;Лето;;;;;;;;2;0;;
;;;Майка;FT245D2-L;FT245D2;2900;Stefanel;;Бирюзовый;                 L;;Лето;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Майка;XT204D;;2900;Stefanel;/upload/import/270315-187.JPG;Белый;;100% шелк;Лето;;/upload/import/270315-188.JPG;/upload/import/270315-189.JPG;/upload/import/270315-190.JPG;;;;2;1;;
;;;Майка;XT204D-M;XT204D;2900;Stefanel;;Белый;                M;;Лето;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Майка;FC233D;;8500;Stefanel;/upload/import/270315-138.JPG;Бежевый;;100% шелк;Лето;;/upload/import/270315-139.JPG;/upload/import/270315-140.JPG;/upload/import/270315-141.JPG;;;;2;1;;
;;;Майка;FC233D-S;FC233D;8500;Stefanel;;Бежевый;                 S;;Лето;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Майка;FC233D1;;8500;Stefanel;/upload/import/270315-294.JPG;Синий;;100% шелк;Лето;;/upload/import/270315-295.JPG;/upload/import/270315-296.JPG;/upload/import/270315-297.JPG;;;;2;1;;
;;;Майка;FC233D1-L;FC233D1;8500;Stefanel;;Синий;                 L;;Лето;;;;;;;;2;0;;
Женская одежда;Комбинезоны;Stefanel;Комбинезон;FV281D;;7500;Stefanel;/upload/import/270315-381.JPG;Бордовый;;93% хлопок 7% эластан;Лето;;/upload/import/270315-382.JPG;/upload/import/270315-383.JPG;/upload/import/270315-384.JPG;;;;2;1;;
;;;Комбинезон;FV281D-XS;FV281D;7500;Stefanel;;Бордовый;               XS;;Лето;;;;;;;;2;0;;
;;;Комбинезон;FV281D-S;FV281D;7500;Stefanel;;Бордовый;                 S;;Лето;;;;;;;;2;0;;
;;;Комбинезон;FV281D-M;FV281D;7500;Stefanel;;Бордовый;                M;;Лето;;;;;;;;2;0;;
Женская одежда;Комбинезоны;Stefanel;Комбинезон;FV281D1;;7500;Stefanel;/upload/import/270315-385.JPG;Черный;;93% хлопок 7% эластан;Лето;;/upload/import/270315-386.JPG;/upload/import/270315-387.JPG;/upload/import/270315-388.JPG;;;;2;1;;
;;;Комбинезон;FV281D1-XS;FV281D1;7500;Stefanel;;Черный;               XS;;Лето;;;;;;;;2;0;;
;;;Комбинезон;FV281D1-S;FV281D1;7500;Stefanel;;Черный;                 S;;Лето;;;;;;;;2;0;;
Женская одежда;Комбинезоны;Stefanel;Комбинезон;FV281D2;;7500;Stefanel;/upload/import/270315-245.JPG;Сиреневый;;93% хлопок 7% эластан;Лето;;/upload/import/270315-246.JPG;/upload/import/270315-247.JPG;/upload/import/270315-248.JPG;;;;2;1;;
;;;Комбинезон;FV281D2-XS;FV281D2;7500;Stefanel;;Сиреневый;                 S;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;FV310D;;9900;Stefanel;/upload/import/270315-378.JPG;Мультиколор;;100% лен;Лето;;/upload/import/270315-379.JPG;/upload/import/270315-380.JPG;/upload/import/270315-380_1.JPG;;;;2;1;;
;;;Платье;FV310D-36;FV310D;9900;Stefanel;;Мультиколор;36;;Лето;;;;;;;;2;0;;
;;;Платье;FV310D-38;FV310D;9900;Stefanel;;Мультиколор;38;;Лето;;;;;;;;2;0;;
;;;Платье;FV310D-40;FV310D;9900;Stefanel;;Мультиколор;40;;Лето;;;;;;;;2;0;;
;;;Платье;FV310D-42;FV310D;9900;Stefanel;;Мультиколор;42;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;FV268D;;10500;Stefanel;/upload/import/270315-393.JPG;Мультиколор;;100% лен;Лето;;/upload/import/270315-394.JPG;/upload/import/270315-395.JPG;/upload/import/270315-396.JPG;;;;2;1;;
;;;Платье;FV268D-36;FV268D;10500;Stefanel;;Мультиколор;36;;Лето;;;;;;;;2;0;;
;;;Платье;FV268D-38;FV268D;10500;Stefanel;;Мультиколор;38;;Лето;;;;;;;;2;0;;
;;;Платье;FV268D-40;FV268D;10500;Stefanel;;Мультиколор;40;;Лето;;;;;;;;2;0;;
;;;Платье;FV268D-42;FV268D;10500;Stefanel;;Мультиколор;42;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;FV268D1;;10500;Stefanel;/upload/import/270315-389.JPG;Мультиколор;;100% лен;Лето;;/upload/import/270315-390.JPG;/upload/import/270315-391.JPG;/upload/import/270315-392.JPG;;;;2;1;;
;;;Платье;FV268D1-36;FV268D1;10500;Stefanel;;Мультиколор;36;;Лето;;;;;;;;2;0;;
;;;Платье;FV268D1-38;FV268D1;10500;Stefanel;;Мультиколор;38;;Лето;;;;;;;;2;0;;
;;;Платье;FV268D1-40;FV268D1;10500;Stefanel;;Мультиколор;40;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;FV322D;;10500;Stefanel;/upload/import/270315-430.JPG;Мультиколор;;100% хлопок;Лето;;/upload/import/270315-431.JPG;/upload/import/270315-432.JPG;/upload/import/270315-433.JPG;;;;2;1;;
;;;Платье;FV322D-36;FV322D;10500;Stefanel;;Мультиколор;36;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D-38;FV322D;10500;Stefanel;;Мультиколор;38;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D-40;FV322D;10500;Stefanel;;Мультиколор;40;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D-44;FV322D;10500;Stefanel;;Мультиколор;44;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D-46;FV322D;10500;Stefanel;;Мультиколор;46;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;FV322D1;;10500;Stefanel;/upload/import/270315-438.JPG;Мультиколор;;100% хлопок;Лето;;/upload/import/270315-439.JPG;/upload/import/270315-440.JPG;/upload/import/270315-441.JPG;;;;2;1;;
;;;Платье;FV322D1-36;FV322D1;10500;Stefanel;;Мультиколор;36;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D1-38;FV322D1;10500;Stefanel;;Мультиколор;38;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D1-44;FV322D1;10500;Stefanel;;Мультиколор;44;;Лето;;;;;;;;2;0;;
;;;Платье;FV322D1-46;FV322D1;10500;Stefanel;;Мультиколор;46;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;FV260D;;11500;Stefanel;/upload/import/270315-434.JPG;Мультиколор;;100% хлопок;Лето;;/upload/import/270315-435.JPG;/upload/import/270315-436.JPG;/upload/import/270315-437.JPG;;;;2;1;;
;;;Платье;FV260D-38;FV260D;11500;Stefanel;;Мультиколор;38;;Лето;;;;;;;;2;0;;
;;;Платье;FV260D-40;FV260D;11500;Stefanel;;Мультиколор;40;;Лето;;;;;;;;2;0;;
;;;Платье;FV260D-42;FV260D;11500;Stefanel;;Мультиколор;42;;Лето;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP245D;;9900;Stefanel;/upload/import/270315-442.JPG;Мультиколор;;100% вискоза;Лето;;/upload/import/270315-443.JPG;/upload/import/270315-444.JPG;/upload/import/270315-445.JPG;/upload/import/270315-446.JPG;;;2;1;;
;;;Брюки;FP245D-XS;FP245D;9900;Stefanel;;Мультиколор;               XS;;Лето;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;XV269D;;8500;Stefanel;/upload/import/270315-401.JPG;Зеленый;;100% шерсть;Демисезон;;/upload/import/270315-402.JPG;/upload/import/270315-403.JPG;/upload/import/270315-404.JPG;;;;2;1;;
;;;Платье;XV269D-XS;XV269D;8500;Stefanel;;Зеленый;               XS;;Демисезон;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;XV269D1;;8500;Stefanel;/upload/import/270315-405.JPG;Фиолетовый;;100% шерсть;Демисезон;;/upload/import/270315-406.JPG;/upload/import/270315-407.JPG;/upload/import/270315-408.JPG;;;;2;1;;
;;;Платье;XV269D1-S;XV269D1;8500;Stefanel;;Фиолетовый;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;XV269D2;;8500;Stefanel;/upload/import/270315-409.JPG;Серый;;100% шерсть;Демисезон;;/upload/import/270315-410.JPG;/upload/import/270315-411.JPG;/upload/import/270315-412.JPG;;;;2;1;;
;;;Платье;XV269D2-S;XV269D2;8500;Stefanel;;Серый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Платье;XV269D2-L;XV269D2;8500;Stefanel;;Серый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;XV274D;;6500;Stefanel;/upload/import/;Бежевый;;100% шерсть;Демисезон;;;;;;;;2;0;;
;;;Платье;XV274D-S;XV274D;6500;Stefanel;;Бежевый;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;XV270D;;8900;Stefanel;/upload/import/270315-413.JPG;Серый;;70% шерсть 30% полиамид;Демисезон;;/upload/import/270315-414.JPG;/upload/import/270315-415.JPG;/upload/import/270315-416.JPG;;;;2;1;;
;;;Платье;XV270D-L;XV270D;8900;Stefanel;;Серый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT223D;;5500;Stefanel;/upload/import/270315-38.JPG;Полоска;;100% хлопок;Демисезон;;/upload/import/270315-39.JPG;/upload/import/270315-40.JPG;/upload/import/270315-41.JPG;;;;2;1;;
;;;Футболка;FT223D-XS;FT223D;5500;Stefanel;;Полоска;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT223D-S;FT223D;5500;Stefanel;;Полоска;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT223D-M;FT223D;5500;Stefanel;;Полоска;                M;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT223D-L;FT223D;5500;Stefanel;;Полоска;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT223D1;;5500;Stefanel;/upload/import/270315-42.JPG;Полоска;;100% хлопок;Демисезон;;/upload/import/270315-43.JPG;/upload/import/270315-44.JPG;/upload/import/270315-45.JPG;;;;2;1;;
;;;Футболка;FT223D1-XS;FT223D1;5500;Stefanel;;Полоска;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT223D1-S;FT223D1;5500;Stefanel;;Полоска;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT223D1-M;FT223D1;5500;Stefanel;;Полоска;                M;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT223D1-XL;FT223D1;5500;Stefanel;;Полоска;               XL;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT243D;;5500;Stefanel;/upload/import/270315-22.JPG;Бордовый;;100% лен;Демисезон;;/upload/import/270315-23.JPG;/upload/import/270315-24.JPG;/upload/import/270315-25.JPG;;;;2;1;;
;;;Футболка;FT243D-XS;FT243D;5500;Stefanel;;Бордовый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D-S;FT243D;5500;Stefanel;;Бордовый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D-M;FT243D;5500;Stefanel;;Бордовый;                M;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D-L;FT243D;5500;Stefanel;;Бордовый;                 L;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D-XL;FT243D;5500;Stefanel;;Бордовый;               XL;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT243D1;;5500;Stefanel;/upload/import/270315-18.JPG;Коричневый;;100% лен;Демисезон;;/upload/import/270315-19.JPG;/upload/import/270315-20.JPG;/upload/import/270315-21.JPG;;;;2;1;;
;;;Футболка;FT243D1-XS;FT243D1;5500;Stefanel;;Коричневый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D1-S;FT243D1;5500;Stefanel;;Коричневый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D1-M;FT243D1;5500;Stefanel;;Коричневый;                M;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT243D2;;5500;Stefanel;/upload/import/270315-14.JPG;Черный;;100% лен;Демисезон;;/upload/import/270315-15.JPG;/upload/import/270315-16.JPG;/upload/import/270315-17.JPG;;;;2;1;;
;;;Футболка;FT243D2-XS;FT243D2;5500;Stefanel;;Черный;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D2-S;FT243D2;5500;Stefanel;;Черный;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D2-M;FT243D2;5500;Stefanel;;Черный;                M;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT243D2-L;FT243D2;5500;Stefanel;;Черный;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT244D;;5500;Stefanel;/upload/import/270315-10.JPG;Черный;;100% лен;Демисезон;;/upload/import/270315-11.JPG;/upload/import/270315-12.JPG;/upload/import/270315-13.JPG;;;;2;1;;
;;;Футболка;FT244D-XS;FT244D;5500;Stefanel;;Черный;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D-S;FT244D;5500;Stefanel;;Черный;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D-M;FT244D;5500;Stefanel;;Черный;                M;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D-L;FT244D;5500;Stefanel;;Черный;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT244D1;;5500;Stefanel;/upload/import/270315-46.JPG;Бордовый;;100% лен;Демисезон;;/upload/import/270315-47.JPG;/upload/import/270315-48.JPG;/upload/import/270315-49.JPG;;;;2;1;;
;;;Футболка;FT244D1-XS;FT244D1;5500;Stefanel;;Бордовый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D1-S;FT244D1;5500;Stefanel;;Бордовый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D1-M;FT244D1;5500;Stefanel;;Бордовый;                M;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D1-L;FT244D1;5500;Stefanel;;Бордовый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Майки, футболки;Stefanel;Футболка;FT244D2;;5500;Stefanel;/upload/import/270315-26.JPG;Коричневый;;100% лен;Демисезон;;/upload/import/270315-27.JPG;/upload/import/270315-28.JPG;/upload/import/270315-29.JPG;;;;2;1;;
;;;Футболка;FT244D2-S;FT244D2;5500;Stefanel;;Коричневый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Футболка;FT244D2-M;FT244D2;5500;Stefanel;;Коричневый;                M;;Демисезон;;;;;;;;2;0;;
Женская одежда;Платья;Stefanel;Платье;XV311D;;9500;Stefanel;/upload/import/270315-397.JPG;Мультиколор;;80% шерсть 20% полиамид;Демисезон;;/upload/import/270315-398.JPG;/upload/import/270315-399.JPG;/upload/import/270315-400.JPG;;;;2;1;;
;;;Платье;XV311D-S;XV311D;9500;Stefanel;;Мультиколор;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Блузки, рубашки;Stefanel;Блузка;FC216D;;6900;Stefanel;/upload/import/270315-426.JPG;Клетка;;100% лен;Демисезон;;/upload/import/270315-427.JPG;/upload/import/270315-428.JPG;/upload/import/270315-429.JPG;/upload/import/270315-421 - копия.JPG;;;2;1;;
;;;Блузка;FC216D-S;FC216D;6900;Stefanel;;Клетка;                 S;;Демисезон;;;;;;;;2;0;;
;;;Блузка;FC216D-M;FC216D;6900;Stefanel;;Клетка;                M;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP233D;;9900;Stefanel;/upload/import/270315-422.JPG;Клетка;;100% лен;Демисезон;;/upload/import/270315-423.JPG;/upload/import/270315-424.JPG;/upload/import/270315-425.JPG;/upload/import/270315-421.JPG;;;2;1;;
;;;Брюки;FP233D-XS;FP233D;9900;Stefanel;;Клетка;               XS;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP233D-S;FP233D;9900;Stefanel;;Клетка;                 S;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP233D-M;FP233D;9900;Stefanel;;Клетка;                M;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP241D;;9900;Stefanel;/upload/import/270315-447.JPG;Бежевый;;100% лен;Демисезон;;/upload/import/270315-448.JPG;/upload/import/270315-449.JPG;/upload/import/270315-450.JPG;/upload/import/270315-451 - копия.JPG;;;2;1;;
;;;Брюки;FP241D-34;FP241D;9900;Stefanel;;Бежевый;34;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D-36;FP241D;9900;Stefanel;;Бежевый;36;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D-38;FP241D;9900;Stefanel;;Бежевый;38;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D-40;FP241D;9900;Stefanel;;Бежевый;40;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D-42;FP241D;9900;Stefanel;;Бежевый;42;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D-44;FP241D;9900;Stefanel;;Бежевый;44;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP241D1;;9900;Stefanel;/upload/import/270315-456.JPG;Коричневый;;100% лен;Демисезон;;/upload/import/270315-457.JPG;/upload/import/270315-458.JPG;/upload/import/270315-459.JPG;/upload/import/270315-460.JPG;;;2;1;;
;;;Брюки;FP241D1-34;FP241D1;9900;Stefanel;;Коричневый;34;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D1-36;FP241D1;9900;Stefanel;;Коричневый;36;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D1-38;FP241D1;9900;Stefanel;;Коричневый;38;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D1-40;FP241D1;9900;Stefanel;;Коричневый;40;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP241D1-42;FP241D1;9900;Stefanel;;Коричневый;42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP230D;;9900;Stefanel;/upload/import/270315-464.JPG;Бирюзовый;;63% лиочел 37% хлопок;Демисезон;;/upload/import/270315-465.JPG;/upload/import/270315-466.JPG;/upload/import/270315-467.JPG;/upload/import/270315-468.JPG;;;2;1;;
;;;Брюки;FP230D-34;FP230D;9900;Stefanel;;Бирюзовый;34;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D-36;FP230D;9900;Stefanel;;Бирюзовый;36;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D-38;FP230D;9900;Stefanel;;Бирюзовый;38;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP230D1;;9900;Stefanel;/upload/import/270315-365.JPG;Белый;;63% лиочел 37% хлопок;Демисезон;;/upload/import/270315-366.JPG;/upload/import/270315-367.JPG;/upload/import/270315-368.JPG;/upload/import/270315-364 - копия.JPG;;;2;1;;
;;;Брюки;FP230D1-34;FP230D1;9900;Stefanel;;Белый;34;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D1-36;FP230D1;9900;Stefanel;;Белый;36;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D1-38;FP230D1;9900;Stefanel;;Белый;38;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D1-40;FP230D1;9900;Stefanel;;Белый;40;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D1-42;FP230D1;9900;Stefanel;;Белый;42;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP230D1-44;FP230D1;9900;Stefanel;;Белый;44;;Демисезон;;;;;;;;2;0;;
Женская одежда;Джинсы;Stefanel;Джинсы;FP268D;;7500;Stefanel;/upload/import/270315-203.JPG;Синий;;98% хлопок 2% эластан;Демисезон;;/upload/import/270315-204.JPG;/upload/import/270315-205.JPG;/upload/import/270315-206.JPG;/upload/import/270315-207.JPG;;;2;1;;
;;;Джинсы;FP268D-36;FP268D;7500;Stefanel;;Синий;36;;Демисезон;;;;;;;;2;0;;
Женская одежда;Свитеры;Stefanel;Свитер;XL203D;;6500;Stefanel;/upload/import/270315-58.JPG;Полоска;;70% шерсть 30% полиамид;Демисезон;;/upload/import/270315-59.JPG;/upload/import/270315-60.JPG;/upload/import/270315-61.JPG;;;;2;1;;
;;;Свитер;XL203D-S;XL203D;6500;Stefanel;;Полоска;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Свитеры;Stefanel;Свитер;XL191D;;5900;Stefanel;/upload/import/270315-54.JPG;Полоска;;70% шерсть 30% полиамид;Демисезон;;/upload/import/270315-55.JPG;/upload/import/270315-56.JPG;/upload/import/270315-57.JPG;;;;2;1;;
;;;Свитер;XL191D-S;XL191D;5900;Stefanel;;Полоска;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Свитеры;Stefanel;Свитер;FL091D;;10500;Stefanel;/upload/import/270315-50.JPG;Полоска;;59% хлопок 21% полиэстер 10% вискоза 5% полиамид 3% акрил 2% лен;Демисезон;;/upload/import/270315-51.JPG;/upload/import/270315-52.JPG;/upload/import/270315-53.JPG;;;;2;1;;
;;;Свитер;FL091D-XL;FL091D;10500;Stefanel;;Полоска;               XL;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кардиган;FT218D;;5500;Stefanel;/upload/import/270315-118.JPG;Бордовый;;100% хлопок;Демисезон;;/upload/import/270315-119.JPG;/upload/import/270315-120.JPG;/upload/import/270315-121.JPG;;;;2;1;;
;;;Кардиган;FT218D-XS;FT218D;5500;Stefanel;;Бордовый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FT218D-S;FT218D;5500;Stefanel;;Бордовый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FT218D-M;FT218D;5500;Stefanel;;Бордовый;                M;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кардиган;FT218D1;;5500;Stefanel;/upload/import/270315-302.JPG;Синий;;100% хлопок;Демисезон;;/upload/import/270315-304.JPG;/upload/import/270315-305.JPG;/upload/import/270315-306.JPG;;;;2;1;;
;;;Кардиган;FT218D1-S;FT218D1;5500;Stefanel;;Синий;                 S;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FT218D1-M;FT218D1;5500;Stefanel;;Синий;                M;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FT218D1-L;FT218D1;5500;Stefanel;;Синий;                 L;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FT218D1-XL;FT218D1;5500;Stefanel;;Синий;               XL;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кардиган;FL097D;;8500;Stefanel;/upload/import/270315-66.JPG;Зеленый;;100% хлопок;Демисезон;;/upload/import/270315-67.JPG;/upload/import/270315-68.JPG;/upload/import/270315-69.JPG;;;;2;1;;
;;;Кардиган;FL097D-XS;FL097D;8500;Stefanel;;Зеленый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FL097D-S;FL097D;8500;Stefanel;;Зеленый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FL097D-M;FL097D;8500;Stefanel;;Зеленый;                M;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FL097D-L;FL097D;8500;Stefanel;;Зеленый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кардиган;FL097D1;;8500;Stefanel;/upload/import/270315-90.JPG;Бордовый;;100% хлопок;Демисезон;;/upload/import/270315-91.JPG;/upload/import/270315-92.JPG;/upload/import/270315-93.JPG;;;;2;1;;
;;;Кардиган;FL097D1-XS;FL097D1;8500;Stefanel;;Бордовый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Кардиган;FL097D1-S;FL097D1;8500;Stefanel;;Бордовый;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кофта;FL094D1;;7500;Stefanel;/upload/import/270315-62.JPG;Зеленый;;100% хлопок;Демисезон;;/upload/import/270315-63.JPG;/upload/import/270315-64.JPG;/upload/import/270315-65.JPG;;;;2;1;;
;;;Кофта;FL094D1-L;FL094D1;7500;Stefanel;;Зеленый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кофта;FL094D;;7500;Stefanel;/upload/import/270315-94.JPG;Бордовый;;100% хлопок;Демисезон;;/upload/import/270315-95.JPG;/upload/import/270315-96.JPG;/upload/import/270315-97.JPG;;;;2;1;;
;;;Кофта;FL094D-XS;FL094D;7500;Stefanel;;Бордовый;               XS;;Демисезон;;;;;;;;2;0;;
;;;Кофта;FL094D-S;FL094D;7500;Stefanel;;Бордовый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Кофта;FL094D-M;FL094D;7500;Stefanel;;Бордовый;                M;;Демисезон;;;;;;;;2;0;;
;;;Кофта;FL094D-L;FL094D;7500;Stefanel;;Бордовый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Кофты, кардиганы;Stefanel;Кардиган;FL097D2;;8500;Stefanel;/upload/import/270315-167.JPG;Бежевый;;100% хлопок;Демисезон;;/upload/import/270315-168.JPG;/upload/import/270315-169.JPG;/upload/import/270315-170.JPG;;;;2;1;;
;;;Кардиган;FL097D2-L;FL097D2;8500;Stefanel;;Бежевый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP268D;;7500;Stefanel;/upload/import/270315-282.JPG;Бордовый;;100% хлопок;Демисезон;;/upload/import/270315-283.JPG;/upload/import/270315-284.JPG;/upload/import/270315-285.JPG;/upload/import/270315-303.JPG;;;2;1;;
;;;Брюки;FP268D-34;FP268D;7500;Stefanel;;Бордовый;34;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP268D-36;FP268D;7500;Stefanel;;Бордовый;36;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP268D-38;FP268D;7500;Stefanel;;Бордовый;38;;Демисезон;;;;;;;;2;0;;
;;;Брюки;FP268D-44;FP268D;7500;Stefanel;;Бордовый;44;;Демисезон;;;;;;;;2;0;;
Женская одежда;Брюки;Stefanel;Брюки;FP268D1;;7500;Stefanel;/upload/import/270315-134.JPG;Сиреневый;;100% хлопок;Демисезон;;/upload/import/270315-135.JPG;/upload/import/270315-136.JPG;/upload/import/270315-137.JPG;/upload/import/270315-142 - копия.JPG;;;2;1;;
